Sigla_Distribuidora,Estado,Grupo_Distribuidora,Grupo_Empresarial,Resumo temas,VlrPenalidade,NumAutoInfracao,Flag_Distribuidora,VlrMercado,DscTipoPenalidade,AnoLavratura,VlrMultaAposJuizo
Enel CE,CE,Enel,Enel,Comercial,19954460.29,0002/2025-ARCE-SFT,Distribuidora,4032024, Advertência / Multa,2025,0.0
Equatorial AL,AL,Equatorial,Equatorial,Comercial,16880427.22,0002/2025-ARSAL-SFT,Distribuidora,1415379, Advertência / Multa,2025,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,0.0,0002/2025-ARSESP-SFT,Não Distribuidora,, Advertência,2025,0.0
,,,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",35386.8,0002/2025-SFF,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,286662.86,0002/2025-SFT,Não Distribuidora,, Multa,2025,0.0
Neoenergia Elektro,SP,NeoEnergia,NeoEnergia,Comercial,19841128.89,0002/2026-ARSESP-SFT,Distribuidora,3018591, Advertência / Multa,2026,0.0
,,,Não mapeado,Operação e Manutenção,6897257.76,0002/2026-SFT,Não Distribuidora,, Multa,2026,0.0
Energisa MT,MT,Energisa,Energisa,Comercial,14449338.11,0003/2019-AGER/ MT-SFE,Distribuidora,1713620, Advertência / Multa,2019,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,24983.15,0003/2019-AGER/ MT-SFG,Não Distribuidora,, Multa,2019,0.0
,,,Não mapeado,Comercial,183789.41,0003/2019-AGERGS-SFE,Não Distribuidora,, Multa,2019,0.0
Chesp,GO,Chesp,Chesp,Qualidade,4563.2,0003/2019-AGR-SFE,Distribuidora,41052, Advertência / Multa,2019,4563.2
Enel CE,CE,Enel,Enel,Comercial,323715.39,0003/2019-ARCE-SFE,Distribuidora,4032024, Multa,2019,0.0
Neoenergia Elektro,SP,NeoEnergia,NeoEnergia,Verificação de Cumprimento de Determinação,24937665.96,0003/2019-ARSESP-SFE,Distribuidora,3018591, Multa,2019,7474008.07
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,38448.4,0003/2019-ARSESP-SFG,Não Distribuidora,, Multa,2019,0.0
,,,Não mapeado,Ocorrências/Perturbações,4912267.51,0003/2019-SFE,Não Distribuidora,, Multa,2019,4912267.51
